Pais,POBLACION,POBLACIÓN_MUSULMANA
Vaticano,519,0
Polonia,18051,1000
San Marino,33614,1000
Monaco,36157,1000
Liechtenstein,39822,2000
Andorra,80341,2200
Islandia,377689,1000
Malta,536740,11700
Montenegro,626102,122800
Luxemburgo,661594,15000
Chipre,1268467,275000
Estonia,1319041,1500
Letonia,1810240,2000
Macedonia del Norte,2082706,705600
Eslovenia,2118965,73600
Lituania,2692798,3000
Armenia,2777979,1000
Albania,2826020,1800000
Bosnia y Herzegovina,3194378,2000000
Moldavia,3329865,15000
Georgia,3717425,527100
Croacia,3986627,64100
Irlanda,5089478,71000
Noruega,5514477,175500
Finlandia,5549886,102000
Eslovaquia,5702832,10900
Dinamarca,5939695,313700
Bulgaria,6618615,861000
Serbia,7097028,121500
Suiza,8851431,440000
Israel,9311652,1500000
Bielorrusia,9455037,100000
Hungria,9994993,60000
Portugal,10223349,65000
Grecia,10302720,313400
Azerbaiyan,10462904,10100000
Republica Checa,10503734,20000
Suecia,10673669,700000
Belgica,11715774,879400
Paises Bajos,17671125,387000
Rumania,19618996,200000
Austria,26699482,813400
Ucrania,37937821,410000
España,47473373,1200000
Italia,58697744,3000000
Francia,64881830,5700000
Reino Unido,67961439,2100000
Alemania,83252474,4600000
Turquia,86260417,84400000
Rusia,143957079,16000000
